panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_used,mean,std,median,ci_level,ci_lo,ci_hi
MM Withdrawal,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.7433333333333333,0.4375236894366786,1.0,0.95,0.6933333333333334,0.7933333333333333
MM Withdrawal,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,290.66,230.90378861911773,200.5,0.95,264.5638333333333,316.71066666666667
MM Withdrawal,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.7249589121909181,0.4548191919486392,0.6007008201775957,0.95,0.6760198978685638,0.7786525392078741
MM Withdrawal,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.012515768545167404,0.6685077804433961,-0.07967225649949985,0.95,-0.08728467721852151,0.06323256744986365
MM Withdrawal,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,223,183.847533632287,164.7990971305996,108.0,0.95,163.61423766816142,206.4065022421524
MM Withdrawal,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.7033333333333334,0.4575515273966042,1.0,0.95,0.65,0.7566666666666667
MM Withdrawal,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,288.1333333333333,233.57635854926045,199.0,0.95,262.6125,314.17175000000003
MM Withdrawal,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.7295222493843834,0.4784465941914603,0.6149295845757394,0.95,0.674736794661038,0.7879060535393225
MM Withdrawal,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.021003818850245715,0.6764416658000346,0.056831758694213974,0.95,-0.051302672296167355,0.09972267880335914
MM Withdrawal,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,211,156.58767772511848,138.1063277051432,107.0,0.95,138.54964454976306,175.9359004739336
Flash Crash,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.82,0.3848293719103959,1.0,0.95,0.7766666666666666,0.8633333333333333
Flash Crash,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,212.14666666666668,212.69888231334625,105.0,0.95,187.81383333333335,236.64683333333335
Flash Crash,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.5703103910947783,0.43003160946806346,0.4561320390930106,0.95,0.5255193576192111,0.6214453393568535
Flash Crash,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.008794893307083315,0.6682483842248559,0.004264437756388059,0.95,-0.062149419843660264,0.08343079595756211
Flash Crash,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,246,127.00813008130082,121.56503229337429,76.0,0.95,111.56290650406504,141.98404471544714
