panel_label,series_key,amm_enabled,preset,seed,metric_name,metric_label,metric_note,analysis_target_mode,recovered,is_censored,recovery_steps,time_observed_steps,half_life_steps,legacy_recovery_steps,initial_dislocation_pct,reference_dislocation_pct,reference_dislocation_step,target_abs_deviation_pct,avg_change_pct,normalized_avg_impact,normalized_auc_abs,trough_change_pct,peak_abs_change_pct
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,191,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,37.0,37.0,17.0,37.0,-88.94800314310577,-88.94800314310577,6.0,50.0,-57.44653283504033,-0.6458439853069701,0.1532643379448085,-88.94800314310577,88.94800314310577
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,191,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,9.0,nan,1132.8743909739685,1132.8743909739685,6.0,50.0,371.32098601542793,0.3277688938631505,0.11312488659494335,-79.54375589017422,1132.8743909739685
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,191,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,37.0,31.0,37.0,1371.8620637518452,1371.8620637518452,9.0,50.0,172.93394015810878,0.20019643764642625,0.1468465489201197,-88.94800314310577,1371.8620637518452
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,192,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,3.0,nan,2572.5625697103,2572.5625697103,1.0,50.0,1015.824921291319,0.3948688880308604,0.10475293182000632,-50.75160163601858,2572.5625697103
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,192,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,37.0,37.0,31.0,37.0,-88.26068408944992,-88.26068408944992,2.0,50.0,-69.90459104839763,-0.7920241245530245,0.21670348993292174,-90.6563668024854,90.6563668024854
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,192,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,8.0,nan,2287.178720366159,2287.178720366159,7.0,50.0,669.226691280271,0.29259921199911004,0.06514973084357113,-74.40549536030585,2287.178720366159
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,192,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,37.0,92.0,37.0,2572.5625697103,2572.5625697103,9.0,50.0,403.7171315111767,-0.10784454548936308,0.31138671793532674,-90.6563668024854,2572.5625697103
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,193,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,22.0,nan,618.8093824820307,618.8093824820307,4.0,50.0,299.3477278720499,0.48374788157117593,0.32004350886138544,-67.23555779896905,1295.8935787022992
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,193,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,37.0,37.0,15.0,37.0,-92.25462443018388,-92.25462443018388,0.0,50.0,-51.702790078753345,-0.5604357548263696,0.14704491095369168,-92.25462443018388,92.25462443018388
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,193,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,22.0,nan,475.5032369762034,475.5032369762034,4.0,50.0,238.85090809447712,0.5023118446329955,0.32865256305886753,-75.93787654328062,986.2642399283094
