research_question,scenario_key,scenario_label,structure_key,structure_label,amm_enabled,metric_name,metric_label,n_used,mean,std,median,ci_level,ci_lo,ci_hi
RQ1,default,Default,without_amm,Without AMM,0,liquidity_composite_recovered,Liquidity Composite Recovered,0,nan,nan,nan,0.95,nan,nan
RQ2,default,Default,without_amm,Without AMM,0,post_shock_avg_clob_spread_bps,Post-shock CLOB Spread,0,nan,nan,nan,0.95,nan,nan
RQ2,default,Default,without_amm,Without AMM,0,post_shock_avg_clob_depth,Post-shock CLOB Depth,0,nan,nan,nan,0.95,nan,nan
RQ2,default,Default,without_amm,Without AMM,0,post_shock_avg_systemic_liquidity,Post-shock Systemic Liquidity,0,nan,nan,nan,0.95,nan,nan
RQ2,default,Default,without_amm,Without AMM,0,post_shock_avg_realized_volatility,Post-shock Realized Volatility,0,nan,nan,nan,0.95,nan,nan
RQ2,default,Default,without_amm,Without AMM,0,post_shock_mm_share_withdrawn,Post-shock MM Withdrawn Share,0,nan,nan,nan,0.95,nan,nan
RQ2,default,Default,without_amm,Without AMM,0,post_shock_mm_withdrawal_score,Post-shock MM Withdrawal Score,0,nan,nan,nan,0.95,nan,nan
RQ2,default,Default,without_amm,Without AMM,0,avg_mm_share_withdrawn,Average MM Withdrawn Share,300,0.0,0.0,0.0,0.95,0.0,0.0
RQ2,default,Default,without_amm,Without AMM,0,avg_mm_withdrawal_score,Average MM Withdrawal Score,300,0.5178522068636296,0.047213328639965475,0.511689566924699,0.95,0.5126867759067327,0.5232285487952494
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,n_trades,Total Trades,300,9139.18,157.23956840728638,9141.0,0.95,9121.303916666668,9157.874166666666
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,avg_clob_spread_bps,Average CLOB Spread,300,3.414238291863671,0.5755105545804287,3.4296753397854713,0.95,3.3494702921701447,3.4785854277720984
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,avg_clob_depth,Average CLOB Depth,300,595.5704873560728,82.81725418066036,601.1056952270901,0.95,585.8319186602208,604.7489886571444
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,avg_systemic_liquidity,Average Systemic Liquidity,300,0.9604626387609612,0.0004330606461818203,0.960488640376062,0.95,0.9604160622100446,0.9605101575621643
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,avg_realized_volatility,Average Realized Volatility,300,0.0010019842660314215,8.751924087711575e-05,0.000991878904097891,0.95,0.0009925355082481637,0.0010113383077734303
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,tail_realized_volatility,Tail Realized Volatility,300,0.00091625163648498,0.0001352130818362584,0.0009081796363356705,0.95,0.0009002506921266413,0.0009313096878608471
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,avg_cost_clob_q5,Average CLOB Cost Q=5,300,1.8959570549189926,0.311946912462224,1.9005857373175377,0.95,1.8611208456253676,1.931124095146392
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,avg_flow_share_amm_total,Average AMM Flow Share,300,0.20062996737504163,0.016846321162423707,0.20278251764063052,0.95,0.19865300240123862,0.20247017035248366
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,price_recovery_steps,Price Recovery Steps,212,163.99056603773585,143.27820650867176,103.5,0.95,145.55931603773587,183.3680424528302
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,spread_recovery_steps,Spread Recovery Steps,16,218.9375,154.55332143524663,192.0,0.95,146.925,294.5625
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,depth_recovery_steps,Depth Recovery Steps,300,11.173333333333334,7.00381803822726,10.0,0.95,10.356666666666667,11.95675
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,liquidity_composite_recovery_steps,Liquidity Composite Recovery Steps,16,218.9375,154.55332143524663,192.0,0.95,147.1203125,294.875
RQ1,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,liquidity_composite_recovered,Liquidity Composite Recovered,300,0.05333333333333334,0.2250727616773127,0.0,0.95,0.03,0.08
RQ2,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,post_shock_avg_clob_spread_bps,Post-shock CLOB Spread,300,3.561931246239152,0.5485448716020321,3.6330918550133826,0.95,3.49840124451042,3.622914409099147
RQ2,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,post_shock_avg_clob_depth,Post-shock CLOB Depth,300,557.8958016958953,83.55278110664156,557.8447069955619,0.95,548.4376189472316,567.8459383785895
RQ2,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,post_shock_avg_systemic_liquidity,Post-shock Systemic Liquidity,300,0.9562662794509663,0.0006941466719269458,0.9563189991164913,0.95,0.9561910334303174,0.9563474054696327
RQ2,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,post_shock_avg_realized_volatility,Post-shock Realized Volatility,300,0.0009694001767710407,8.986141360651827e-05,0.0009623986398836445,0.95,0.0009592256643756193,0.0009795784921737753
RQ2,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,post_shock_mm_share_withdrawn,Post-shock MM Withdrawn Share,300,0.00613939393939394,0.00724488183073245,0.004545454545454545,0.95,0.005354469696969697,0.0069637121212121214
RQ2,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,post_shock_mm_withdrawal_score,Post-shock MM Withdrawal Score,300,0.6495091401254238,0.07036721916926372,0.6348905379031959,0.95,0.641707346202073,0.6573085622374658
RQ2,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,avg_mm_share_withdrawn,Average MM Withdrawn Share,300,0.003751851851851852,0.004427427785447608,0.002777777777777778,0.95,0.003262962962962963,0.004263009259259258
RQ2,mm_withdrawal,MM Withdrawal,with_amm,With AMM,1,avg_mm_withdrawal_score,Average MM Withdrawal Score,300,0.6030517611471053,0.057681274364459426,0.5933640930321125,0.95,0.5967323068436143,0.6096822077134133
RQ1,mm_withdrawal,MM Withdrawal,without_amm,Without AMM,0,n_trades,Total Trades,300,9015.873333333333,146.67915052778997,9028.5,0.95,9000.078166666666,9032.4445
RQ1,mm_withdrawal,MM Withdrawal,without_amm,Without AMM,0,avg_clob_spread_bps,Average CLOB Spread,300,3.861505711708134,0.5875259100250302,3.8497353642905816,0.95,3.7948427656584407,3.928563318359373
RQ1,mm_withdrawal,MM Withdrawal,without_amm,Without AMM,0,avg_clob_depth,Average CLOB Depth,300,615.5605594228864,77.60088435514129,614.6261491350322,0.95,607.055451533953,624.1417776838064
RQ1,mm_withdrawal,MM Withdrawal,without_amm,Without AMM,0,avg_systemic_liquidity,Average Systemic Liquidity,300,0.9605348404350371,0.0004446594277575927,0.9605843561442083,0.95,0.9604805287413559,0.9605837634896222
RQ1,mm_withdrawal,MM Withdrawal,without_amm,Without AMM,0,avg_realized_volatility,Average Realized Volatility,300,0.0010907051832861052,7.9202379219234e-05,0.001088150070461986,0.95,0.0010816958825816665,0.0010996536814504938
RQ1,mm_withdrawal,MM Withdrawal,without_amm,Without AMM,0,tail_realized_volatility,Tail Realized Volatility,300,0.0010183040627705935,0.00011222602932652989,0.001008082858531852,0.95,0.0010059282352232282,0.0010310219942910807
RQ1,mm_withdrawal,MM Withdrawal,without_amm,Without AMM,0,avg_cost_clob_q5,Average CLOB Cost Q=5,300,2.1029745256242247,0.31894956491795573,2.0934988851322442,0.95,2.067636623532162,2.1378553556431417
