panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_used,mean,std,median,ci_level,ci_lo,ci_hi
Flash Crash,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.5141770831959012,0.35456924838521314,0.4204096302190382,0.95,0.47548430852629026,0.5538175795006136
Flash Crash,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.07554809443424049,0.6516818848292738,-0.11557983696924946,0.95,-0.14761597431319468,0.00025803799698848994
Flash Crash,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,274,125.13503649635037,127.7977168169488,73.5,0.95,110.22408759124087,140.8029197080292
Dealer Liquidity Crisis,with_amm,With AMM,1,price_resilience,Price Resilience,fair_value_gap,recovered_indicator,Recovered Indicator,all,300,1.0,0.0,1.0,0.95,1.0,1.0
Dealer Liquidity Crisis,with_amm,With AMM,1,price_resilience,Price Resilience,fair_value_gap,time_observed_steps,Observed Time,all,300,43.016666666666666,34.28948748614406,37.0,0.95,39.45616666666666,47.200583333333334
Dealer Liquidity Crisis,with_amm,With AMM,1,price_resilience,Price Resilience,fair_value_gap,normalized_auc_abs,Normalized AUC,all,300,0.11068074290863718,0.030319485735270744,0.10848058082901776,0.95,0.10753810956530223,0.11403134948518409
Dealer Liquidity Crisis,with_amm,With AMM,1,price_resilience,Price Resilience,fair_value_gap,normalized_avg_impact,Normalized Average Impact,all,300,0.3465390340271109,0.16266999112858896,0.3654316692269318,0.95,0.3277967585728143,0.36553072350636023
Dealer Liquidity Crisis,with_amm,With AMM,1,price_resilience,Price Resilience,fair_value_gap,recovery_steps_recovered_only,Recovery Steps,recovered_only,300,43.016666666666666,34.28948748614406,37.0,0.95,39.57308333333333,47.30049999999999
Dealer Liquidity Crisis,without_amm,Without AMM,0,price_resilience,Price Resilience,fair_value_gap,recovered_indicator,Recovered Indicator,all,300,0.9866666666666667,0.11488931224930929,1.0,0.95,0.9733333333333334,0.9966666666666667
Dealer Liquidity Crisis,without_amm,Without AMM,0,price_resilience,Price Resilience,fair_value_gap,time_observed_steps,Observed Time,all,300,56.85666666666667,78.07094870904278,41.0,0.95,48.822,66.54366666666667
Dealer Liquidity Crisis,without_amm,Without AMM,0,price_resilience,Price Resilience,fair_value_gap,normalized_auc_abs,Normalized AUC,all,300,0.12211003390825724,0.04098822786319335,0.11618575747105524,0.95,0.11732270846420223,0.12660906104927971
Dealer Liquidity Crisis,without_amm,Without AMM,0,price_resilience,Price Resilience,fair_value_gap,normalized_avg_impact,Normalized Average Impact,all,300,0.2412431629561535,0.1593725654164919,0.252102646756858,0.95,0.22278000024412134,0.2591422625586853
Dealer Liquidity Crisis,without_amm,Without AMM,0,price_resilience,Price Resilience,fair_value_gap,recovery_steps_recovered_only,Recovery Steps,recovered_only,296,49.516891891891895,46.08253154609399,41.0,0.95,44.45506756756757,54.80869932432432
Funding Liquidity Shock,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.87,0.33686534530812934,1.0,0.95,0.83,0.9066666666666666
Funding Liquidity Shock,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,186.14666666666668,191.0808855912858,96.5,0.95,164.97291666666666,209.105
Funding Liquidity Shock,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.5501440329121604,0.3231970179990802,0.46601288984401557,0.95,0.5143487191279049,0.5880876559708988
Funding Liquidity Shock,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.011204574226122217,0.7343096601031907,0.024512489134545196,0.95,-0.09313510729870995,0.06977039754984114
Funding Liquidity Shock,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,261,124.30651340996168,111.61805545504798,86.0,0.95,110.82250957854406,137.6978927203065
Funding Liquidity Shock,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9133333333333333,0.2818160567729817,1.0,0.95,0.88,0.9433333333333334
Funding Liquidity Shock,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,151.93333333333334,171.15805313432182,81.0,0.95,133.06633333333332,172.28491666666665
Funding Liquidity Shock,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.47931314981514256,0.3194005239203419,0.41211602781436407,0.95,0.44421827607944403,0.5155410270729023
Funding Liquidity Shock,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.029697179988910236,0.7141173980645922,0.09385619241000115,0.95,-0.05411458675038995,0.11246421069694768
Funding Liquidity Shock,without_amm,Without AMM,0,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,274,109.41605839416059,105.59540882014717,69.5,0.95,96.79114963503649,122.81888686131386
High-Vol Stress,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.8933333333333333,0.30920475550187154,1.0,0.95,0.8566666666666667,0.9266666666666666
High-Vol Stress,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,283.20666666666665,143.3883002119809,243.5,0.95,267.5065,299.29808333333335
High-Vol Stress,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.846511885568678,0.610675141045706,0.6727550192609415,0.95,0.7813138819283777,0.9178730173068252
High-Vol Stress,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.020366202444691908,0.8509929980068959,0.04470549425125127,0.95,-0.07744469904602792,0.11074728200080172
High-Vol Stress,with_amm,With AMM,1,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,268,245.38059701492537,97.77653914479116,235.5,0.95,233.13423507462687,257.097947761194
